Training Start: 2026-01-24 01:15:59.253866
Config: Epochs=60, BatchSize=4, LR=0.0001
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 3.19845 | AvgT: 0.82049 | AvgR: 0.01535 | WLoss: 0.0083709 | Lm: 1.03e-02 | LR: 0.0001000
[Epoch 1] AvgL: 3.17667 | AvgT: 0.81721 | AvgR: 0.01353 | WLoss: 0.0042332 | Lm: 1.05e-02 | LR: 0.0001000
[Epoch 2] AvgL: 3.17288 | AvgT: 0.81630 | AvgR: 0.01343 | WLoss: 0.0037272 | Lm: 1.07e-02 | LR: 0.0001000
[Epoch 3] AvgL: 3.17283 | AvgT: 0.81628 | AvgR: 0.01377 | WLoss: 0.0000786 | Lm: 1.11e-02 | LR: 0.0001000
[Epoch 4] AvgL: 3.15602 | AvgT: 0.81172 | AvgR: 0.01358 | WLoss: 0.0237218 | Lm: 1.12e-02 | LR: 0.0001000
[Epoch 5] AvgL: 3.24445 | AvgT: 0.83230 | AvgR: 0.01628 | WLoss: 0.0279747 | Lm: 1.22e-02 | LR: 0.0001000
[Epoch 6] AvgL: 3.48402 | AvgT: 0.81600 | AvgR: 0.02168 | WLoss: 0.1593510 | Lm: 1.16e-02 | LR: 0.0001000
[Epoch 7] AvgL: 4.44997 | AvgT: 0.91258 | AvgR: 0.02337 | WLoss: 0.2792765 | Lm: 9.10e-03 | LR: 0.0001000
[Epoch 8] AvgL: 5.15081 | AvgT: 0.91986 | AvgR: 0.02919 | WLoss: 0.2259158 | Lm: 8.15e-03 | LR: 0.0001000
[Epoch 9] AvgL: 4.94035 | AvgT: 0.95605 | AvgR: 0.02756 | WLoss: 0.2568603 | Lm: 7.05e-03 | LR: 0.0001000
[Epoch 10] AvgL: 3.96517 | AvgT: 0.81820 | AvgR: 0.02511 | WLoss: 0.3533020 | Lm: 6.82e-03 | LR: 0.0001000
[Epoch 11] AvgL: 6.87094 | AvgT: 1.13178 | AvgR: 0.02839 | WLoss: 0.2902724 | Lm: 6.34e-03 | LR: 0.0001000
[Epoch 12] AvgL: 5.79729 | AvgT: 0.99580 | AvgR: 0.02566 | WLoss: 0.2671868 | Lm: 5.65e-03 | LR: 0.0001000
[Epoch 13] AvgL: 3.05829 | AvgT: 0.71244 | AvgR: 0.03098 | WLoss: 0.1742759 | Lm: 5.54e-03 | LR: 0.0001000
[Epoch 14] AvgL: 3.45635 | AvgT: 0.77748 | AvgR: 0.02797 | WLoss: 0.1022067 | Lm: 5.41e-03 | LR: 0.0000500
[Epoch 15] AvgL: 2.76531 | AvgT: 0.65417 | AvgR: 0.02240 | WLoss: 0.2169136 | Lm: 5.39e-03 | LR: 0.0000500
[Epoch 16] AvgL: 1.65426 | AvgT: 0.44920 | AvgR: 0.02190 | WLoss: 0.1073431 | Lm: 5.54e-03 | LR: 0.0000500
[Epoch 17] AvgL: 1.75564 | AvgT: 0.44918 | AvgR: 0.02114 | WLoss: 0.1175970 | Lm: 5.63e-03 | LR: 0.0000500
[Epoch 18] AvgL: 1.77238 | AvgT: 0.44963 | AvgR: 0.01963 | WLoss: 0.0633118 | Lm: 5.89e-03 | LR: 0.0000500
[Epoch 19] AvgL: 4.98961 | AvgT: 0.90132 | AvgR: 0.02042 | WLoss: 0.1028527 | Lm: 5.99e-03 | LR: 0.0000500
[Epoch 20] AvgL: 14.11592 | AvgT: 2.24657 | AvgR: 0.02490 | WLoss: 0.5364659 | Lm: 5.93e-03 | LR: 0.0000500
[Epoch 21] AvgL: 23.08147 | AvgT: 3.62449 | AvgR: 0.02002 | WLoss: 0.6213078 | Lm: 5.97e-03 | LR: 0.0000500
[Epoch 22] AvgL: 13.16769 | AvgT: 2.01477 | AvgR: 0.01979 | WLoss: 1.3435271 | Lm: 6.08e-03 | LR: 0.0000500
[Epoch 23] AvgL: 11.14521 | AvgT: 1.73458 | AvgR: 0.02019 | WLoss: 1.5569963 | Lm: 6.23e-03 | LR: 0.0000500
[Epoch 24] AvgL: 13.45008 | AvgT: 2.05249 | AvgR: 0.02026 | WLoss: 0.0552460 | Lm: 6.34e-03 | LR: 0.0000500
