Training Start: 2026-01-25 17:01:28.288542
Config: Epochs=60, BatchSize=4, LR=5e-05
----------------------------------------------------------------------------------------------------
[Epoch 0] AvgL: 8.06962 | AvgT: 0.62973 | AvgR: 0.01389 | WLoss: 1.6283830 | Lm: 5.89e-03 | LR: 0.0000500
[Epoch 1] AvgL: 6.81987 | AvgT: 0.29723 | AvgR: 0.01361 | WLoss: 1.0134214 | Lm: 5.77e-03 | LR: 0.0000500
[Epoch 2] AvgL: 7.27492 | AvgT: 0.57597 | AvgR: 0.01337 | WLoss: 0.3756165 | Lm: 5.81e-03 | LR: 0.0000500
[Epoch 3] AvgL: 13.50269 | AvgT: 5.02011 | AvgR: 0.01353 | WLoss: 0.8523995 | Lm: 5.96e-03 | LR: 0.0000500
[Epoch 4] AvgL: 6.28707 | AvgT: 0.28480 | AvgR: 0.01245 | WLoss: 1.8385990 | Lm: 6.14e-03 | LR: 0.0000500
[Epoch 5] AvgL: 11.43011 | AvgT: 1.91255 | AvgR: 0.01128 | WLoss: 2.3599744 | Lm: 6.31e-03 | LR: 0.0000500
[Epoch 6] AvgL: 5.77210 | AvgT: 0.59774 | AvgR: 0.01039 | WLoss: 1.9809635 | Lm: 6.55e-03 | LR: 0.0000500
[Epoch 7] AvgL: 5.66229 | AvgT: 0.60379 | AvgR: 0.00926 | WLoss: 3.3203084 | Lm: 6.80e-03 | LR: 0.0000500
[Epoch 8] AvgL: 5.82393 | AvgT: 1.25053 | AvgR: 0.00829 | WLoss: 3.4086792 | Lm: 6.92e-03 | LR: 0.0000500
[Epoch 9] AvgL: 5.71042 | AvgT: 1.20852 | AvgR: 0.00746 | WLoss: 3.7895312 | Lm: 7.20e-03 | LR: 0.0000500
[Epoch 10] AvgL: 4.20301 | AvgT: 0.31520 | AvgR: 0.00714 | WLoss: 3.1926222 | Lm: 7.48e-03 | LR: 0.0000500
[Epoch 11] AvgL: 5.74203 | AvgT: 0.89253 | AvgR: 0.00657 | WLoss: 3.7616868 | Lm: 7.69e-03 | LR: 0.0000500
[Epoch 12] AvgL: 3.89748 | AvgT: 0.24803 | AvgR: 0.00629 | WLoss: 3.5256088 | Lm: 7.92e-03 | LR: 0.0000500
[Epoch 13] AvgL: 4.05421 | AvgT: 0.38924 | AvgR: 0.00591 | WLoss: 3.2182455 | Lm: 8.14e-03 | LR: 0.0000500
[Epoch 14] AvgL: 3.38568 | AvgT: 0.17124 | AvgR: 0.00566 | WLoss: 3.9025855 | Lm: 8.31e-03 | LR: 0.0000250
[Epoch 15] AvgL: 3.31075 | AvgT: 0.23958 | AvgR: 0.00503 | WLoss: 3.9113929 | Lm: 8.34e-03 | LR: 0.0000250
[Epoch 16] AvgL: 3.19928 | AvgT: 0.21082 | AvgR: 0.00494 | WLoss: 4.0733519 | Lm: 8.44e-03 | LR: 0.0000250
[Epoch 17] AvgL: 4.09272 | AvgT: 0.75996 | AvgR: 0.00479 | WLoss: 3.2697020 | Lm: 8.50e-03 | LR: 0.0000250
[Epoch 18] AvgL: 3.55524 | AvgT: 0.39588 | AvgR: 0.00470 | WLoss: 3.6573610 | Lm: 8.57e-03 | LR: 0.0000250
[Epoch 19] AvgL: 3.14356 | AvgT: 0.26276 | AvgR: 0.00442 | WLoss: 3.7793655 | Lm: 8.68e-03 | LR: 0.0000250
[Epoch 20] AvgL: 2.72488 | AvgT: 0.14386 | AvgR: 0.00439 | WLoss: 4.2931843 | Lm: 8.72e-03 | LR: 0.0000250
[Epoch 21] AvgL: 2.81559 | AvgT: 0.16926 | AvgR: 0.00440 | WLoss: 3.7066989 | Lm: 8.75e-03 | LR: 0.0000250
